Code;TAS20;F1;F2;F3;Gender;Age;Card;T_Metaphors;T_ToM;T_FP;T_Interpret;T_Desc;T_Confussion;Text;Alex_A;Alex_B;Words;Sentences;Tokens;Tokens_Stop;Tokens_Stem;POS
58ab3fab379ca311cb882e396d7406d9;45;18;9;18;2;22;9VH;0;0;0;1;0;0;Tras varias semanas trabajando sin parar en la granja de su tio abuelo, por fín acabaron de reformar el granero. Los primeros Dalton, para celebrarlo se fueron al bar del pueblo a celebrarlo. A la mañana siguiente, les encontraron dormidos en la finca del vecino, con una resaca del copón.;0;0;50;4;['tras', 'varias', 'semanas', 'trabajando', 'sin', 'parar', 'en', 'la', 'granja', 'de', 'su', 'tio', 'abuelo', 'por', 'fín', 'acabaron', 'de', 'reformar', 'el', 'granero', 'los', 'primeros', 'dalton', 'para', 'celebrarlo', 'se', 'fueron', 'al', 'bar', 'del', 'pueblo', 'a', 'celebrarlo', 'a', 'la', 'mañana', 'siguiente', 'les', 'encontraron', 'dormidos', 'en', 'la', 'finca', 'del', 'vecino', 'con', 'una', 'resaca', 'del', 'copón'];['tras', 'varias', 'semanas', 'trabajando', 'parar', 'granja', 'tio', 'abuelo', 'fín', 'acabaron', 'reformar', 'granero', 'primeros', 'dalton', 'celebrarlo', 'bar', 'pueblo', 'celebrarlo', 'mañana', 'siguiente', 'encontraron', 'dormidos', 'finca', 'vecino', 'resaca', 'copón'];['tra', 'varia', 'semana', 'trabajando', 'parar', 'granja', 'tio', 'abuelo', 'fín', 'acabaron', 'reformar', 'granero', 'primero', 'dalton', 'celebrarlo', 'bar', 'pueblo', 'celebrarlo', 'mañana', 'siguient', 'encontraron', 'dormido', 'finca', 'vecino', 'resaca', 'copón'];[('tras', 'ADP'), ('varias', 'DET'), ('semanas', 'NOUN'), ('trabajando', 'VERB'), ('sin', 'ADP'), ('parar', 'VERB'), ('en', 'ADP'), ('la', 'DET'), ('granja', 'NOUN'), ('de', 'ADP'), ('su', 'DET'), ('tio', 'NOUN'), ('abuelo,', 'PROPN'), ('por', 'ADP'), ('fín', 'PROPN'), ('acabaron', 'AUX'), ('de', 'ADP'), ('reformar', 'VERB'), ('el', 'DET'), ('granero.', 'PROPN'), ('los', 'DET'), ('primeros', 'ADJ'), ('dalton,', 'PROPN'), ('para', 'ADP'), ('celebrarlo', 'NOUN'), ('se', 'PRON'), ('fueron', 'AUX'), ('al', 'ADP'), ('bar', 'NOUN'), ('del', 'ADP'), ('pueblo', 'NOUN'), ('a', 'ADP'), ('celebrarlo.', 'PROPN'), ('a', 'ADP'), ('la', 'DET'), ('mañana', 'NOUN'), ('siguiente,', 'PROPN'), ('les', 'PRON'), ('encontraron', 'VERB'), ('dormidos', 'ADJ'), ('en', 'ADP'), ('la', 'DET'), ('finca', 'NOUN'), ('del', 'ADP'), ('vecino,', 'PROPN'), ('con', 'ADP'), ('una', 'DET'), ('resaca', 'NOUN'), ('del', 'ADP'), ('copón.', 'PROPN')]
58ab3fab379ca311cb882e396d7406d9;45;18;9;18;2;22;11;0;0;0;1;0;0;Dos pájaros amigos deciden ir de excursión un día de niebla, resulta que a uno de ellos se le había enganchado un trozo de basura a una ala, y estaban buscando a un pájaro curandero para sacárselo. Tenían que subir inumerables cuestas y pasar muchos puentes como el que se ve en la imagen. Era una aventura de no olvidar.;0;0;60;4;['dos', 'pájaros', 'amigos', 'deciden', 'ir', 'de', 'excursión', 'un', 'día', 'de', 'niebla', 'resulta', 'que', 'a', 'uno', 'de', 'ellos', 'se', 'le', 'había', 'enganchado', 'un', 'trozo', 'de', 'basura', 'a', 'una', 'ala', 'y', 'estaban', 'buscando', 'a', 'un', 'pájaro', 'curandero', 'para', 'sacárselo', 'tenían', 'que', 'subir', 'inumerables', 'cuestas', 'y', 'pasar', 'muchos', 'puentes', 'como', 'el', 'que', 'se', 've', 'en', 'la', 'imagen', 'era', 'una', 'aventura', 'de', 'no', 'olvidar'];['dos', 'pájaros', 'amigos', 'deciden', 'ir', 'excursión', 'día', 'niebla', 'resulta', 'enganchado', 'trozo', 'basura', 'ala', 'buscando', 'pájaro', 'curandero', 'sacárselo', 'subir', 'inumerables', 'cuestas', 'pasar', 'puentes', 've', 'imagen', 'aventura', 'olvidar'];['do', 'pájaro', 'amigo', 'deciden', 'ir', 'excursión', 'día', 'niebla', 'resulta', 'enganchado', 'trozo', 'basura', 'ala', 'buscando', 'pájaro', 'curandero', 'sacárselo', 'subir', 'inumer', 'cuesta', 'pasar', 'puent', 've', 'imagen', 'aventura', 'olvidar'];[('dos', 'NUM'), ('pájaros', 'NOUN'), ('amigos', 'ADJ'), ('deciden', 'VERB'), ('ir', 'AUX'), ('de', 'ADP'), ('excursión', 'NOUN'), ('un', 'DET'), ('día', 'NOUN'), ('de', 'ADP'), ('niebla,', 'PROPN'), ('resulta', 'VERB'), ('que', 'SCONJ'), ('a', 'ADP'), ('uno', 'PRON'), ('de', 'ADP'), ('ellos', 'PRON'), ('se', 'PRON'), ('le', 'PRON'), ('había', 'AUX'), ('enganchado', 'VERB'), ('un', 'DET'), ('trozo', 'NOUN'), ('de', 'ADP'), ('basura', 'NOUN'), ('a', 'ADP'), ('una', 'DET'), ('ala,', 'NOUN'), ('y', 'CCONJ'), ('estaban', 'AUX'), ('buscando', 'VERB'), ('a', 'ADP'), ('un', 'DET'), ('pájaro', 'NOUN'), ('curandero', 'ADJ'), ('para', 'ADP'), ('sacárselo.', 'NOUN'), ('tenían', 'VERB'), ('que', 'SCONJ'), ('subir', 'VERB'), ('inumerables', 'ADJ'), ('cuestas', 'NOUN'), ('y', 'CCONJ'), ('pasar', 'VERB'), ('muchos', 'DET'), ('puentes', 'NOUN'), ('como', 'SCONJ'), ('el', 'DET'), ('que', 'PRON'), ('se', 'PRON'), ('ve', 'VERB'), ('en', 'ADP'), ('la', 'DET'), ('imagen.', 'PROPN'), ('era', 'AUX'), ('una', 'DET'), ('aventura', 'NOUN'), ('de', 'ADP'), ('no', 'ADV'), ('olvidar.', 'PROPN')]
58ab3fab379ca311cb882e396d7406d9;45;18;9;18;2;22;13HM;0;1;0;1;0;0;Se levantó Jaime por la mañana sin poder creer lo que acaba de pasar, su mujer, su esposa desde hace 15 años había fallecido de la noche a la mañana. Madre mia, querría por todos los medios que eso fuera un sueño, pero no era así. Cómo se lo pensaba decir a las niñas, y sus padres. Qué horrible.;0;0;59;5;['se', 'levantó', 'jaime', 'por', 'la', 'mañana', 'sin', 'poder', 'creer', 'lo', 'que', 'acaba', 'de', 'pasar', 'su', 'mujer', 'su', 'esposa', 'desde', 'hace', '15', 'años', 'había', 'fallecido', 'de', 'la', 'noche', 'a', 'la', 'mañana', 'madre', 'mia', 'querría', 'por', 'todos', 'los', 'medios', 'que', 'eso', 'fuera', 'un', 'sueño', 'pero', 'no', 'era', 'así', 'cómo', 'se', 'lo', 'pensaba', 'decir', 'a', 'las', 'niñas', 'y', 'sus', 'padres', 'qué', 'horrible'];['levantó', 'jaime', 'mañana', 'poder', 'creer', 'acaba', 'pasar', 'mujer', 'esposa', 'hace', '15', 'años', 'fallecido', 'noche', 'mañana', 'madre', 'mia', 'querría', 'medios', 'sueño', 'así', 'cómo', 'pensaba', 'decir', 'niñas', 'padres', 'horrible'];['levantó', 'jaim', 'mañana', 'poder', 'creer', 'acaba', 'pasar', 'mujer', 'esposa', 'hace', '15', 'año', 'fallecido', 'noch', 'mañana', 'madr', 'mia', 'querría', 'medio', 'sueño', 'así', 'cómo', 'pensaba', 'decir', 'niña', 'padr', 'horribl'];[('se', 'PRON'), ('levantó', 'VERB'), ('jaime', 'NOUN'), ('por', 'ADP'), ('la', 'DET'), ('mañana', 'NOUN'), ('sin', 'ADP'), ('poder', 'AUX'), ('creer', 'VERB'), ('lo', 'DET'), ('que', 'PRON'), ('acaba', 'AUX'), ('de', 'ADP'), ('pasar,', 'PROPN'), ('su', 'DET'), ('mujer,', 'PROPN'), ('su', 'DET'), ('esposa', 'NOUN'), ('desde', 'ADP'), ('hace', 'AUX'), ('15', 'NUM'), ('años', 'NOUN'), ('había', 'AUX'), ('fallecido', 'VERB'), ('de', 'ADP'), ('la', 'DET'), ('noche', 'NOUN'), ('a', 'ADP'), ('la', 'DET'), ('mañana.', 'PROPN'), ('madre', 'PROPN'), ('mia,', 'PROPN'), ('querría', 'VERB'), ('por', 'ADP'), ('todos', 'DET'), ('los', 'DET'), ('medios', 'NOUN'), ('que', 'SCONJ'), ('eso', 'PRON'), ('fuera', 'AUX'), ('un', 'DET'), ('sueño,', 'NOUN'), ('pero', 'CCONJ'), ('no', 'ADV'), ('era', 'AUX'), ('así.', 'NOUN'), ('cómo', 'PRON'), ('se', 'PRON'), ('lo', 'PRON'), ('pensaba', 'VERB'), ('decir', 'AUX'), ('a', 'ADP'), ('las', 'DET'), ('niñas,', 'PROPN'), ('y', 'CCONJ'), ('sus', 'DET'), ('padres.', 'PROPN'), ('qué', 'PRON'), ('horrible.', 'PROPN')]
921c9edc5049a7e277cc64b42667af95;33;11;8;14;2;25;1;0;1;0;1;0;0;Un niño al que sus padres obligaban a tocar el violín y él estaba harto porque quería jugar al fútbol. En la foto está imaginándose su plan de fuga de casa.;0;0;31;3;['un', 'niño', 'al', 'que', 'sus', 'padres', 'obligaban', 'a', 'tocar', 'el', 'violín', 'y', 'él', 'estaba', 'harto', 'porque', 'quería', 'jugar', 'al', 'fútbol', 'en', 'la', 'foto', 'está', 'imaginándose', 'su', 'plan', 'de', 'fuga', 'de', 'casa'];['niño', 'padres', 'obligaban', 'tocar', 'violín', 'harto', 'quería', 'jugar', 'fútbol', 'foto', 'imaginándose', 'plan', 'fuga', 'casa'];['niño', 'padr', 'obligaban', 'tocar', 'violín', 'harto', 'quería', 'jugar', 'fútbol', 'foto', 'imaginándos', 'plan', 'fuga', 'casa'];[('un', 'DET'), ('niño', 'NOUN'), ('al', 'ADP'), ('que', 'PRON'), ('sus', 'DET'), ('padres', 'NOUN'), ('obligaban', 'VERB'), ('a', 'ADP'), ('tocar', 'VERB'), ('el', 'DET'), ('violín', 'NOUN'), ('y', 'CCONJ'), ('él', 'PRON'), ('estaba', 'AUX'), ('harto', 'ADJ'), ('porque', 'SCONJ'), ('quería', 'VERB'), ('jugar', 'VERB'), ('al', 'ADP'), ('fútbol.', 'PROPN'), ('en', 'ADP'), ('la', 'DET'), ('foto', 'NOUN'), ('está', 'AUX'), ('imaginándose', 'VERB'), ('su', 'DET'), ('plan', 'NOUN'), ('de', 'ADP'), ('fuga', 'NOUN'), ('de', 'ADP'), ('casa.', 'PROPN')]
921c9edc5049a7e277cc64b42667af95;33;11;8;14;2;25;9VH;0;1;0;1;0;0;Unos señores dueños de una finca en la que tenían esclavos negros. En la foto están durmiendo tranquilamente y los negros están apunto de matarlos mientras duermen y huir.;0;0;29;3;['unos', 'señores', 'dueños', 'de', 'una', 'finca', 'en', 'la', 'que', 'tenían', 'esclavos', 'negros', 'en', 'la', 'foto', 'están', 'durmiendo', 'tranquilamente', 'y', 'los', 'negros', 'están', 'apunto', 'de', 'matarlos', 'mientras', 'duermen', 'y', 'huir'];['señores', 'dueños', 'finca', 'esclavos', 'negros', 'foto', 'durmiendo', 'tranquilamente', 'negros', 'apunto', 'matarlos', 'mientras', 'duermen', 'huir'];['señor', 'dueño', 'finca', 'esclavo', 'negro', 'foto', 'durmiendo', 'tranquilament', 'negro', 'apunto', 'matarlo', 'mientra', 'duermen', 'huir'];[('unos', 'DET'), ('señores', 'NOUN'), ('dueños', 'NOUN'), ('de', 'ADP'), ('una', 'DET'), ('finca', 'NOUN'), ('en', 'ADP'), ('la', 'DET'), ('que', 'PRON'), ('tenían', 'VERB'), ('esclavos', 'NOUN'), ('negros.', 'PROPN'), ('en', 'ADP'), ('la', 'DET'), ('foto', 'NOUN'), ('están', 'AUX'), ('durmiendo', 'VERB'), ('tranquilamente', 'ADV'), ('y', 'CCONJ'), ('los', 'DET'), ('negros', 'NOUN'), ('están', 'AUX'), ('apunto', 'ADJ'), ('de', 'ADP'), ('matarlos', 'NOUN'), ('mientras', 'SCONJ'), ('duermen', 'VERB'), ('y', 'CCONJ'), ('huir.', 'PROPN')]
921c9edc5049a7e277cc64b42667af95;33;11;8;14;2;25;11;0;0;0;1;1;0;Una estampida de búfalos que están apunto de caerse por un barranco.;0;0;12;2;['una', 'estampida', 'de', 'búfalos', 'que', 'están', 'apunto', 'de', 'caerse', 'por', 'un', 'barranco'];['estampida', 'búfalos', 'apunto', 'caerse', 'barranco'];['estampida', 'búfalo', 'apunto', 'caers', 'barranco'];[('una', 'DET'), ('estampida', 'NOUN'), ('de', 'ADP'), ('búfalos', 'NOUN'), ('que', 'PRON'), ('están', 'AUX'), ('apunto', 'VERB'), ('de', 'ADP'), ('caerse', 'NOUN'), ('por', 'ADP'), ('un', 'DET'), ('barranco.', 'NOUN')]
921c9edc5049a7e277cc64b42667af95;33;11;8;14;2;25;13HM;0;1;0;1;0;0;Un marido triste que acaba de perder a su mujer enferma de cáncer.;0;0;13;2;['un', 'marido', 'triste', 'que', 'acaba', 'de', 'perder', 'a', 'su', 'mujer', 'enferma', 'de', 'cáncer'];['marido', 'triste', 'acaba', 'perder', 'mujer', 'enferma', 'cáncer'];['marido', 'trist', 'acaba', 'perder', 'mujer', 'enferma', 'cáncer'];[('un', 'DET'), ('marido', 'NOUN'), ('triste', 'ADJ'), ('que', 'PRON'), ('acaba', 'AUX'), ('de', 'ADP'), ('perder', 'VERB'), ('a', 'ADP'), ('su', 'DET'), ('mujer', 'NOUN'), ('enferma', 'NOUN'), ('de', 'ADP'), ('cáncer.', 'PROPN')]
8455c12aed5a184b635e816f798b336f;40;17;10;13;2;21;1;0;1;0;1;0;0;Un niño al que sus padres le han obligado a tocar el violin. A él no le gusta.;0;0;18;3;['un', 'niño', 'al', 'que', 'sus', 'padres', 'le', 'han', 'obligado', 'a', 'tocar', 'el', 'violin', 'a', 'él', 'no', 'le', 'gusta'];['niño', 'padres', 'obligado', 'tocar', 'violin', 'gusta'];['niño', 'padr', 'obligado', 'tocar', 'violin', 'gusta'];[('un', 'DET'), ('niño', 'NOUN'), ('al', 'ADP'), ('que', 'PRON'), ('sus', 'DET'), ('padres', 'NOUN'), ('le', 'PRON'), ('han', 'AUX'), ('obligado', 'VERB'), ('a', 'ADP'), ('tocar', 'VERB'), ('el', 'DET'), ('violin.', 'PROPN'), ('a', 'ADP'), ('él', 'PRON'), ('no', 'ADV'), ('le', 'PRON'), ('gusta.', 'VERB')]
8455c12aed5a184b635e816f798b336f;40;17;10;13;2;21;9VH;0;1;0;1;0;0;Unos militares descansando tras un día duro.;0;0;7;2;['unos', 'militares', 'descansando', 'tras', 'un', 'día', 'duro'];['militares', 'descansando', 'tras', 'día', 'duro'];['militar', 'descansando', 'tra', 'día', 'duro'];[('unos', 'DET'), ('militares', 'NOUN'), ('descansando', 'VERB'), ('tras', 'ADP'), ('un', 'DET'), ('día', 'NOUN'), ('duro.', 'PROPN')]
8455c12aed5a184b635e816f798b336f;40;17;10;13;2;21;13HM;0;1;0;1;0;0;Un hombre que al levantarse se arrepiente de haber dormido con la mujer que se encuentra tumbada en la cama;0;0;20;1;['un', 'hombre', 'que', 'al', 'levantarse', 'se', 'arrepiente', 'de', 'haber', 'dormido', 'con', 'la', 'mujer', 'que', 'se', 'encuentra', 'tumbada', 'en', 'la', 'cama'];['hombre', 'levantarse', 'arrepiente', 'haber', 'dormido', 'mujer', 'encuentra', 'tumbada', 'cama'];['hombr', 'levantars', 'arrepient', 'haber', 'dormido', 'mujer', 'encuentra', 'tumbada', 'cama'];[('un', 'DET'), ('hombre', 'NOUN'), ('que', 'PRON'), ('al', 'ADP'), ('levantarse', 'NOUN'), ('se', 'PRON'), ('arrepiente', 'VERB'), ('de', 'ADP'), ('haber', 'AUX'), ('dormido', 'VERB'), ('con', 'ADP'), ('la', 'DET'), ('mujer', 'NOUN'), ('que', 'PRON'), ('se', 'PRON'), ('encuentra', 'VERB'), ('tumbada', 'ADJ'), ('en', 'ADP'), ('la', 'DET'), ('cama', 'NOUN')]
